epoch,train_accuracy,val_accuracy,train_loss,val_loss
3,0.8437,0.8621,0.0863,0.0959
4,0.8520,0.8365,0.0829,0.1163
5,0.8565,0.8427,0.0809,0.1072
6,0.8580,0.8598,0.0795,0.0975
7,0.8620,0.8475,0.0781,0.1066
8,0.8636,0.8699,0.0772,0.0887
9,0.8653,0.8749,0.0761,0.0901
10,0.8675,0.8443,0.0754,0.1091
1,0.8311,0.7255,0.1186,0.1564
2,0.8494,0.7991,0.1029,0.1208
3,0.8632,0.8371,0.0973,0.1109
4,0.8720,0.8501,0.0929,0.1094
5,0.8730,0.8614,0.0906,0.0971
6,0.8772,0.8449,0.0894,0.1038
7,0.8769,0.8421,0.0877,0.1072
8,0.8803,0.8387,0.0867,0.1093
9,0.8838,0.8479,0.0853,0.1027
10,0.8834,0.8536,0.0844,0.0990
1,0.8291,0.7564,0.1168,0.1303
2,0.8587,0.8331,0.0973,0.1045
3,0.8700,0.8546,0.0929,0.1006
4,0.8750,0.8568,0.0900,0.1039
5,0.8769,0.8398,0.0889,0.1124
6,0.8796,0.8552,0.0871,0.1059
7,0.8825,0.8482,0.0856,0.1061
8,0.8813,0.8564,0.0855,0.0980
9,0.8821,0.8572,0.0844,0.1030
10,0.8853,0.8396,0.0828,0.1125
1,0.8354,0.7102,0.1188,0.1614
2,0.8545,0.7710,0.1028,0.1257
3,0.8645,0.8093,0.0962,0.1266
4,0.8723,0.8597,0.0930,0.0997
5,0.8766,0.7804,0.0907,0.1526
6,0.8773,0.8240,0.0898,0.1231
7,0.8777,0.8535,0.0885,0.1030
8,0.8796,0.8502,0.0873,0.1049
9,0.8819,0.8358,0.0863,0.1140
10,0.8825,0.8576,0.0854,0.0984
1,0.8370,0.7730,0.1179,0.1331
2,0.8553,0.8830,0.1013,0.0767
3,0.8661,0.8446,0.0961,0.1115
4,0.8708,0.8630,0.0936,0.0996
5,0.8717,0.8614,0.0919,0.0962
6,0.8765,0.8832,0.0898,0.0805
7,0.8787,0.8610,0.0892,0.0957
8,0.8778,0.8548,0.0887,0.0981
9,0.8779,0.8636,0.0878,0.0958
